x,Coordinates(x),Coordinates(y),ID
1,127,181,150
2,113,161,98
3,227,141,181
,,,
4,118,112,173
,,,
5,246,226,108
,,,
6,195,154,173
,,,
7,155,137,182
,,,
8,181,107,136
,,,
9,189,149,123
,,,
10,130,170,217
,,,
11,153,197,102
,,,
12,244,242,184
,,,
13,104,180,215
,,,
14,238,169,160
,,,
15,201,176,105
,,,
16,193,195,226
,,,
17,233,245,240
,,,
18,239,117,214
,,,
19,147,180,153
,,,
20,205,228,159
,,,
21,182,181,115
,,,
22,125,194,238
,,,
23,149,244,149
,,,
24,163,228,206
,,,
25,158,177,186
,,,
26,146,196,239
,,,
27,192,142,131
,,,
28,188,248,222
,,,
29,235,217,216
,,,
30,183,154,179
,,,
31,250,234,179
